N,P,K,temperature,humidity,ph,rainfall,label
91,7,50,24.492827,81.456754,6.727508,41.00291,watermelon
89,9,49,26.308462,89.041824,6.024532,54.901272,watermelon
17,126,200,13.014719,84.539771,5.918821,69.877854,grapes
25,70,76,18.285688,15.708678,6.889251,97.554423,chickpea
48,75,20,28.565345,67.703759,6.88013,71.221923,blackgram
91,52,58,22.847133,88.281174,5.407479,234.653298,rice
22,43,17,28.324827,34.975478,9.605479,51.196718,mothbeans
3,66,22,15.22018,23.13853,5.928989,100.797365,kidneybeans
119,17,47,29.408552,93.550465,6.905798,24.347067,muskmelon
96,84,52,27.433586,84.123163,6.192115,103.807971,banana
22,52,18,27.255311,36.742742,6.227937,54.604742,mothbeans
95,29,28,26.41686,54.099864,6.616052,186.097401,coffee
2,66,15,24.952971,69.994783,6.590099,55.251823,lentil
29,38,22,30.053513,86.313519,6.995162,51.088383,mungbean
21,25,32,32.65256,45.003065,4.542194,94.390007,mango
28,136,198,21.912326,90.145047,5.89199,107.674878,apple
89,16,26,27.716759,61.927268,6.008045,155.952331,coffee
16,61,16,27.412959,62.286723,6.093324,43.545218,lentil
115,38,34,25.227713,60.774161,6.234421,196.894745,coffee
30,34,33,31.891253,53.200677,5.171209,97.003796,mango
3,12,27,29.431642,97.412394,5.685894,217.06796,coconut
56,73,20,25.712225,61.760152,6.700992,71.231483,blackgram
11,67,21,22.759584,18.533016,5.57903,119.857346,kidneybeans
74,57,42,23.696827,88.524901,6.472818,174.498839,jute
122,51,23,22.506275,80.122692,5.93939,89.128031,cotton
110,35,28,26.457038,54.66768,6.285807,173.398531,coffee
6,67,18,19.917086,69.374076,6.887625,61.871125,lentil
33,5,8,15.003979,90.093975,7.303029,110.752374,orange
33,59,19,31.233048,41.728001,5.6099,64.87198,mothbeans
1,62,16,22.569353,20.377557,5.818984,114.340461,kidneybeans
15,13,42,20.525703,87.284416,6.005224,48.758525,pomegranate
118,45,59,26.589644,91.988039,5.945672,284.914556,rice
91,52,22,24.904891,60.743054,6.322384,87.167632,maize
108,5,53,27.334448,94.743163,6.332736,24.511028,muskmelon
38,7,25,28.541309,97.933561,5.916277,177.674737,coconut
114,41,21,22.376957,78.121031,6.681417,63.025556,cotton
24,29,30,27.866859,51.874972,5.438834,65.59578,mango
26,15,29,29.963509,54.779332,4.501817,90.772065,mango
90,6,47,25.858699,85.48887,6.507825,41.097727,watermelon
34,41,19,27.449321,56.735393,3.717471,36.158683,mothbeans
90,59,18,25.139535,68.199411,6.370357,98.743989,maize
49,76,24,27.899903,63.924666,7.399967,73.344761,blackgram
3,89,19,23.574237,42.653416,5.96977,195.242654,pigeonpeas
85,9,51,26.864325,87.768753,6.903461,42.911177,watermelon
6,78,23,34.983485,46.001755,6.175749,179.011955,pigeonpeas
25,41,24,28.622336,85.896366,6.329509,54.587441,mungbean
12,79,20,15.246145,22.338405,5.635608,68.896136,kidneybeans
3,69,19,24.268025,18.939435,5.545568,68.36808,kidneybeans
136,58,18,24.171707,80.775115,6.241339,97.871935,cotton
9,37,22,31.565756,89.165768,6.728631,57.842104,mungbean
10,55,21,24.138742,30.605138,7.184827,53.998773,mothbeans
30,61,20,26.44803,67.784029,6.99611,72.264489,blackgram
18,124,198,21.555304,94.404531,6.189973,103.333369,apple
116,11,53,27.172161,92.939474,6.954044,29.84384,muskmelon
5,69,23,24.377773,56.726184,5.363393,110.581478,pigeonpeas
97,71,49,28.921987,80.289325,5.804797,106.135333,banana
51,63,47,27.119738,92.919133,6.596001,81.521825,papaya
6,28,29,27.402665,48.143538,5.376176,82.270319,mango
20,76,19,28.950351,61.091677,6.187203,57.092939,lentil
